reviewer_area,old_claim_or_risky_wording,revised_claim,evidence_status,key_numbers,evidence_artifacts,safe_wording,manuscript_action
R1C1 safety / ranking-decision gap,safety-oriented behavior; clinically appropriate conservatism,calibrated fixed-threshold operating behavior under a frozen Chapman OOF protocol,supported_with_limitations,"OOF F1=0.3998, PR-AUC=0.3432, ECE=0.0552, Brier=0.0355; paired F1=full_significantly_better, Brier=full_significantly_better, ECE=full_significantly_better, PR-AUC=comparator_significantly_better",reports/revision/metrics/calibration_ci_oof_final_ema_predictions.json;reports/revision/tables/table_paired_full_vs_minirocket.csv,"Frozen OOF supports a calibrated/fixed-threshold operating-point advantage, not a rank-based discrimination advantage.","Replace safety language in Abstract, Results, and Discussion; report calibration metrics and threshold-0.5 metrics."
R1C2 MiniRocket / morphology branch,deterministic morphology improves robustness; ECG-RAMBA outperforms MiniRocket,MiniRocket-only is stronger for rank-based discrimination; Full ECG-RAMBA is stronger for fixed-threshold and calibration-sensitive metrics,blocked_fair_baselines_missing,"Full PR-AUC=0.3432, F1=0.3998; MiniRocket PR-AUC=0.4508, F1=0.2477",reports/revision/metrics/baseline_summary.csv;reports/revision/metrics/paired_full_vs_minirocket_comparison.json,Do not claim superiority over all fair baselines. Report that MiniRocket-only is stronger on rank-based discrimination while Full ECG-RAMBA is stronger for fixed-threshold/calibrated operating metrics where paired CIs support it.,Report metric-dependent tradeoff. Do not claim deterministic morphology superiority or global baseline superiority.
R1C3 HRV domain bias,HRV serves as an invariant anchor,HRV provides complementary rhythm descriptors but is domain-sensitive,partially_supported_with_domain_limitation,"HRV-only ROC-AUC=0.8113, PR-AUC=0.1771, F1=0.2077; domain status=complete, domain AUC=1.0000",reports/revision/metrics/hrv_domain_summary.csv;reports/revision/metrics/hrv_only_baseline_summary.json;reports/revision/metrics/hrv_domain_classifier_summary.json,"Report HRV-only as a feature baseline. If domain AUC is high, present HRV as domain-sensitive and avoid domain-invariance wording.",Move HRV invariance to limitations. State HRV domain classifier result directly.
R1C4 baseline strength,ECG-RAMBA is superior to fair ECG baselines,Only feature baselines MiniRocket-only and HRV-only are complete; Raw Mamba and ResNet1D/CNN fair runners remain deferred,blocked_fair_baselines_missing,"Full PR-AUC=0.3432, F1=0.3998; MiniRocket PR-AUC=0.4508, F1=0.2477",reports/revision/metrics/baseline_summary.csv;reports/revision/metrics/paired_full_vs_minirocket_comparison.json,Do not claim superiority over all fair baselines. Report that MiniRocket-only is stronger on rank-based discrimination while Full ECG-RAMBA is stronger for fixed-threshold/calibrated operating metrics where paired CIs support it.,"Do not present broad fair-baseline superiority. If space allows, add ResNet1D/CNN later as a separate risk-managed experiment."
R1C5 uncertainty,point estimates alone establish superiority,record-level bootstrap and paired comparisons support only metric-specific conclusions,supported_with_limitations,Calibration/bootstrap and paired Full-vs-MiniRocket statuses are available in final evidence; robustness table contains paired CIs for 30 stress/metric rows.,reports/revision/metrics/calibration_ci_oof_final_ema_predictions.json;reports/revision/tables/table_paired_full_vs_minirocket.csv;reports/revision/tables/table_final_robustness_claims.csv,"Use CI-backed, metric-specific wording only; do not convert a significant operating-point result into global superiority.","Add uncertainty table text and cite bootstrap method. For robustness, quote paired CI rows only where present."
R1C6 Power Mean Q=3,Q=3 is optimal,Q=3 is the pre-specified frozen operating point and a sensitivity-tested tradeoff,supported_as_tradeoff_not_optimality_claim,"Q=3 PR-AUC=0.3432, ROC-AUC=0.8373, F1=0.3998",reports/revision/metrics/pooling_sensitivity.csv;reports/revision/metrics/pooling_decision_summary.json,"Present Q=3 as the pre-specified/frozen operating point and a sensitivity-tested tradeoff, not as globally optimal.","Keep Q=3 wording as tradeoff, not optimality. Cite pooling sensitivity table."
R2C2 morphology-rhythm separation,validating morphology-rhythm disentanglement,architecture combines complementary morphology-rhythm streams; strict representation separation remains future work,blocked_representation_probe_missing,Robustness rows=30; Full less-degraded metrics=4; MiniRocket less-degraded metrics=26,reports/revision/metrics/robustness_summary.csv;reports/revision/metrics/representation_evidence_status.json,Do not claim proven morphology-rhythm disentanglement. State that the architecture is designed to combine complementary streams and that representation separation remains future work.,Remove proven-disentanglement wording. Do not say UMAP/probing/CKA were added unless those artifacts are generated later.
R2C3 robustness stress tests,ECG-RAMBA is more robust than MiniRocket,Full ECG-RAMBA is better under stress for F1/Brier/ECE; MiniRocket-only is better for PR-AUC/ROC-AUC and less degraded in most rows,supported_metric_specific_with_limitations,30 rows; Full less degraded 4/30; MiniRocket less degraded 26/30; Full better under stress 18/30; MiniRocket better under stress 12/30,reports/revision/tables/table_final_robustness_claims.csv;reports/revision/metrics/robustness_summary.csv;reports/revision/metrics/robustness_full_vs_minirocket_comparison.json,Use only metric-specific robustness claims supported by paired degradation CIs.,Add robustness subsection with two columns: ranking metrics and operating-point/calibration metrics.
R2C4 few-shot / external transfer,external zero-shot transfer is manuscript-ready; few-shot experiments were added,current manuscript-ready evidence is frozen Chapman OOF; PTB/Georgia/CPSC and few-shot remain experimental/deferred,oof_supported_external_experimental,A0 audit_complete=True; blockers=8; calibration n=44186; micro ECE=0.0538,reports/revision/manifests/oof_final_ema_freeze_manifest.json;reports/revision/a0_resolution_status.json;reports/revision/metrics/calibration_ci_oof_final_ema_predictions.json,Claim protocol-faithful frozen Chapman OOF evaluation. Keep PTB/Georgia/CPSC outputs experimental unless their dataset-specific protocols are separately completed.,Do not claim external or few-shot results unless a separate protocol-specific evidence package is completed.
Implementation / HRV schema,36 HRV features include RMSSD/SDNN/LF-HF and amplitude contribution,"current checkpoint input has 5 RR statistics, reserved zero slots, intended amplitude slots, and global statistics; no causal amplitude claim",manuscript_corrected_with_deferred_feature_claims,A0-HRV-01 manuscript-corrected; A0-HRV-02 deferred,reports/revision/hrv36_schema.csv;reports/revision/tables/table_final_blocker_status.csv,Do not describe reserved HRV slots as implemented RMSSD/SDNN/LF-HF features; do not claim amplitude contribution for current checkpoints.,Update Methods and Appendix HRV feature list before any manuscript text leaves the repo.
